PROVEEDOR,NUMERODELICITACION,TIPODECOMPRA,NUMERO DE CONTRATO,CODIGOSSA,CLAVEARTICULO,NOMBREMEDICAMENTO,UNIDADDEMEDIDA,MARCA,LABORATORIO,PRECIOUNITARIOCONDESCUENTO,SURTIDO
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2156,SUBROGADA,HGMGG-LPN-01-2156,010.000.2156.00  (30),02-01-0123,"ESPIRONOLACTONA, 100 MG",TABLETA,,"PFIZER, S.A. DE C.V.",$12.12,388
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2157,SUBROGADA,HGMGG-LPN-01-2157,010.000.2304.00/010.000.2304.01  (20 Y 30),02-01-0122,"ESPIRONOLACTONA, 25 MG",TABLETA,,NOLASQUE,$0.79,463
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2158,SUBROGADA,HGMGG-LPN-01-2158,010.000.1736.00,02-01-0310,"ESTREPTOQUINASA, 1,500.000 U.I.",FRASCO ÁMPULA,,"LABORATORIOS PISA, S.A. DE C.V.","$5,225.65",3
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2159,SUBROGADA,HGMGG-LPN-01-2159,010.000.2405.00  (50 ),02-01-0510,"ETAMBUTOL, 400 MG",TABLETA,,"ARLEX DE MEXICO, S.A. DE C.V.",$3.04,0
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2160,SUBROGADA,HGMGG-LPN-01-2160,040.000.0243.00  (5),02-02-0042,"ETOMIDATO, 20 MG/10 ML",ÁMPULA,,"LABORATORIOS PISA, S.A. DE C.V.",$58.78,39
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2161,SUBROGADA,HGMGG-LPN-01-2161,"010.000.4025.00
010.000.4025.01",02-01-0710,"EZETIMIBA/SIMVASTATINA, 10 MG/20 MG",COMPRIMIDO,,"LABORATORIOS PISA, S.A. DE C.V.",$13.66,1
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2162,SUBROGADA,HGMGG-LPN-01-2162,010.000.4282.00,02-01-0730,"FACTOR VII, 2.4 U.I.",ÁMPULA,,NOVOSEVENT RT,"$93,106.88",0
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2163,SUBROGADA,HGMGG-LPN-01-2163,010.000.2871.00,02-01-0126,"FENILEFRINA 10%, 5 ML",FRASCO GOTERO,,NEFRIN OFTENO,$66.94,5
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2164,SUBROGADA,HGMGG-LPN-01-2164,010.000.0525.00  (50),02-01-0103,"FENITOINA SODICA, 100 MG",CÁPSULA,,"BIORESEARCH DE MEXICO, S.A. DE C.V.",$0.30,130
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2165,SUBROGADA,HGMGG-LPN-01-2165,010.000.2624.00,02-01-0130,"FENITOINA SODICA, 250 MG/5 ML",ÁMPULA,,"LABORATORIOS PISA, S.A. DE C.V.",$36.40,1474
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2166,SUBROGADA,HGMGG-LPN-01-2166,010.000.2611.00,02-01-0104,"FENITOINA, 125 G/250 ML",FRASCO,,FENIFFLER,$45.31,3
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2167,SUBROGADA,HGMGG-LPN-01-2167,040.000.2601.00 (20),02-01-0845,"FENOBARBITAL, 100 MG","TABLETA, FCO C/40",,FENABBOTT,$4.27,20
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2168,SUBROGADA,HGMGG-LPN-01-2168,FCB,02-02-0032,"FENOBARBITAL, 300 MG/2 ML",ÁMPULA,,"LABORATORIOS BONIN, S.A.","$1,875.00",0
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2169,SUBROGADA,HGMGG-LPN-01-2169,040.000.4027.00,02-02-0076,"FENTANILO TRANSDERMICO, 4.2 MG",PARCHE,,DUROGESIC D- TRANS,$609.04,20
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2170,SUBROGADA,HGMGG-LPN-01-2170,FCB,02-02-0077,"FENTANILO TRANSDERMICO, 8.4 MG",PARCHE,,DUROGESIC D- TRANS,"$1,298.96",15
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2171,SUBROGADA,HGMGG-LPN-01-2171,040.000.0242.00 (6),02-02-0007,"FENTANILO, CITRATO DE, 0.5 MG/10 ML",ÁMPULA,,"LABORATORIOS PISA, S.A. DE C.V.",$19.47,5100
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2172,SUBROGADA,HGMGG-LPN-01-2172,010.000.6070.00,02-01-0811,"FIBRINÓGENO HUMANO, 1.5 G/100 ML",SOLUCIÓN,,LFB BIOMEDICAMENTS,"$39,330.00",5
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2173,SUBROGADA,HGMGG-LPN-01-2173,010.000.0626.00/010.000.0626.01  (3 y 5),02-01-0287,"FITOMENADIONA, 10 MG/ML",ÁMPULA,,"LABORATORIOS PISA, S.A. DE C.V.",$8.03,699
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2174,SUBROGADA,HGMGG-LPN-01-2174,010.000.1732.00/010.000.1732.01  (3 y 5),02-01-0286,"FITOMENADIONA, 2 MG/0.5 ML",ÁMPULA,,"LABORATORIOS PISA, S.A. DE C.V.",$7.76,722
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2175,SUBROGADA,HGMGG-LPN-01-2175,010.000.2135.00,02-01-0128,"FLUCONAZOL, 100 MG",CÁPSULA,,"LABORATORIOS PISA, S.A. DE C.V.",$79.17,268
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2176,SUBROGADA,HGMGG-LPN-01-2176,010.000.2135.00,02-01-0127,"FLUCONAZOL, 100 MG/50 ML",FRASCO ÁMPULA,,"LABORATORIOS PISA, S.A. DE C.V.",$84.79,1217
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2177,SUBROGADA,HGMGG-LPN-01-2177,FCB,02-01-0813,"FLUCONAZOL, 150 MG",CÁPSULA,,"LABORATORIOS PISA, S.A. DE C.V.",$161.00,3
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2178,SUBROGADA,HGMGG-LPN-01-2178,FCB,02-01-0812,"FLUCONAZOL, 50 MG",CÁPSULA,,DIFLUCAN,$216.62,8
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2179,SUBROGADA,HGMGG-LPN-01-2179,040.000.4054.00 ,02-02-0009,"FLUMAZENIL, 0.5 MG/5 ML",ÁMPULA,,"LABORATORIOS PISA, S.A. DE C.V.",$367.56,22
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2180,SUBROGADA,HGMGG-LPN-01-2180,080.823.6236  (20%),02-01-0679,"FLUORESCEINA SODICA, 10% (",FRASCO,,LABORATORIOS SOPHIA S A DE C V,$247.16,0
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2181,SUBROGADA,HGMGG-LPN-01-2181,FCB,02-01-0814,"FLUOROMETOLONA, 0.1%",FRASCO GOTERO,,FLUMETOL NF OFTENO,$215.63,5
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2182,SUBROGADA,HGMGG-LPN-01-2182,"010.000.4483.00
010.000.4483.01",02-01-0618,"FLUOXETINA, 20 MG",TABLETA,,"LABORATORIOS PISA, S.A. DE C.V.",$1.09,65
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2183,SUBROGADA,HGMGG-LPN-01-2183,010.000.5426.00,02-01-0815,"FLUTAMIDA, 250 MG",TABLETA,,"LEMERY, S.A. DE C.V.",$4.78,0
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2184,SUBROGADA,HGMGG-LPN-01-2184,010.000.3617.00 (50),02-01-0131,"FOSFATO DE POTASIO, 1.550 MG/10 ML",ÁMPULA,,"LABORATORIOS PISA, S.A. DE C.V.",$14.61,2526
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2185,SUBROGADA,HGMGG-LPN-01-2185,010.000.1277.00,02-01-0131,FOSFATO Y CITRATO DE SODIO. SOLUCION PARA ENEMA. CADA 100 ML CONTIENEN: FOSFATO MONOSODICO 12 G Y 10 G. CITRATO DE SODIO ENVASE CON 133 ML Y CANULA RECTAL.,FRASCO,,VENOFERRUM,$82.67,0
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2186,SUBROGADA,HGMGG-LPN-01-2186,FCB,02-01-0780,"FOSFOMICINA, 1G ",FRASCO AMPULA,,"LABORATORIOS SENOSIAIN, S.A. DE C.V.",$175.24,380
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2187,SUBROGADA,HGMGG-LPN-01-2187,FCB,02-01-0779,"FOSFOMICINA, 4G ",FRASCO AMPULA,,"LABORATORIOS SENOSIAIN, S.A. DE C.V.",$626.63,27
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2188,SUBROGADA,HGMGG-LPN-01-2188,010.000.2308.00,02-01-0817,"FUROSEMIDA, 20 MG",TABLETA,,"SANOFI AVENTIS WINTHROP, S.A. DE C.V.",$3.43,16
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2189,SUBROGADA,HGMGG-LPN-01-2189,010.000.2308.00 (6),02-01-0132,"FUROSEMIDA, 20 MG/2 ML",ÁMPULA,,"LABORATORIOS PISA, S.A. DE C.V.",$3.56,8567
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2190,SUBROGADA,HGMGG-LPN-01-2190,010.000.2307.00 (20),02-01-0133,"FUROSEMIDA, 40 MG",TABLETA,,"INDUSTRIAS QUIMICO FARMACEUTICAS AMERICANAS, S.A. DE C.V.",$0.32,403
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2191,SUBROGADA,HGMGG-LPN-01-2191,010.000.4359.00  (15),02-01-0616,"GABAPENTINA, 300 MG",TABLETA,,"LABORATORIOS PISA, S.A. DE C.V.",$4.35,799
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2192,SUBROGADA,HGMGG-LPN-01-2192,FCB,02-01-0617,"GABAPENTINA, 400 MG",TABLETA,,GABANTIN,$7.08,143
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2193,SUBROGADA,HGMGG-LPN-01-2193,010.000.5268.00,02-01-0536,"GANCICLOVIR, 500 MG",FRASCO ÁMPULA,,"LABORATORIOS PISA, S.A. DE C.V.","$1,346.29",165
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2194,SUBROGADA,HGMGG-LPN-01-2194,FCB,02-01-0818,"GATIFLOXACINO, AL 0.3%  (SESQUIHIDRATADA)",SOLUCIÓN,,ZYMAR,$881.91,11
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2195,SUBROGADA,HGMGG-LPN-01-2195,010.000.4280.00/010.000.4280.01 (1 Y 5),02-01-0636,"GENTAMICINA EN PLACA DE COLAGENO, 130 MG, 10 CM X 10 CM X 0.5 CM ",PIEZA,,"SERRAL, S.A. DE C.V.","$1,420.74",0
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2196,SUBROGADA,HGMGG-LPN-01-2196,010.000.1955.00,02-01-0427,"GENTAMICINA, 20 MG/2 ML",ÁMPULA,,"LABORATORIOS PISA, S.A. DE C.V.",$7.03,5
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2197,SUBROGADA,HGMGG-LPN-01-2197,010.000.1954.00,02-01-0136,"GENTAMICINA, SULFATO DE, 80 MG/2 ML",ÁMPULA,,"LABORATORIOS PISA, S.A. DE C.V.",$6.19,199
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2198,SUBROGADA,HGMGG-LPN-01-2198,010.000.1042.00  (50),02-01-0137,"GLIBENCLAMIDA, 5 MG",CÁPSULA,,"INDUSTRIAS QUIMICO FARMACEUTICAS AMERICANAS, S.A. DE C.V.",$0.10,1
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2199,SUBROGADA,HGMGG-LPN-01-2199,010.000.3620.00/010.000.3620.01  (50 Y 100),02-01-0139,"GLUCONATO DE CALCIO AL 10%, 1.000 MG/ 10 ML",ÁMPULA,,"LABORATORIOS PISA, S.A. DE C.V.",$3.94,2473
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2200,SUBROGADA,HGMGG-LPN-01-2200,010.000.3606.00,02-01-0093,"GLUCOSA AL 50%, 25 G/ 50 ML",FRASCO ÁMPULA,,"LABORATORIOS PISA, S.A. DE C.V.",$33.65,2823
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2201,SUBROGADA,HGMGG-LPN-01-2201,FCB,02-01-0820,"GOSERELINA, 3.6 MG ó 10.8 MG",IMPLANTE,,,,0
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2202,SUBROGADA,HGMGG-LPN-01-2202,040.000.4477.00  (,02-02-0012,"HALOPERIDOL, 2 MG/ML",FRASCO GOTERO,,"PSICOFARMA, S.A. DE C.V.",$199.79,23
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2203,SUBROGADA,HGMGG-LPN-01-2203,040.000.3251.00  (20),02-02-0013,"HALOPERIDOL, 5 MG",TABLETA,,PERIDOL,$1.28,3
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2204,SUBROGADA,HGMGG-LPN-01-2204,040.000.3253.00  (5),02-02-0011,"HALOPERIDOL, 5 MG/ML",ÁMPULA,,"LABORATORIOS PISA, S.A. DE C.V.",$31.20,790
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2205,SUBROGADA,HGMGG-LPN-01-2205,010.000.0621.00 (50),02-01-0141,"HEPARINA SODICA, 1000 UI/10 ML",FRASCO ÁMPULA,,"LABORATORIOS PISA, S.A. DE C.V.",$31.84,395
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2206,SUBROGADA,HGMGG-LPN-01-2206,010.000.0622.00  (50),02-01-0142,"HEPARINA SODICA, 5000 UI/10 ML",FRASCO ÁMPULA,,"LABORATORIOS PISA, S.A. DE C.V.",$59.45,1209
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2207,SUBROGADA,HGMGG-LPN-01-2207,010.000.4402.00  ,02-01-0623,"HIALURONATO DE SODIO AL 1%,10 MG/ML ",JERINGA PRELLENADA,,HUMYLUB OFTENO,$873.34,9
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2208,SUBROGADA,HGMGG-LPN-01-2208,010.000.4402.00,02-01-0686,"HIALURONATO DE SODIO AL 1.8%, 16 MG ( ALTA DENSIDAD )",ÁMPULA,,"TECNOFARMA, S.A. DE C.V.","$1,265.90",151
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2209,SUBROGADA,HGMGG-LPN-01-2209,FCB,02-01-0782,"HIALURONATO DE SODIO, 25 MG ",ÁMPULA O JERINGA PRELLENADA,,SUPRAHYAL,$840.94,0
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2210,SUBROGADA,HGMGG-LPN-01-2210,010.000.0570.00  (20),02-01-0144,"HIDRALAZINA, 10 MG",COMPRIMIDO,,BIONOBAL,$0.60,11
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2211,SUBROGADA,HGMGG-LPN-01-2211,010.000.4201.00  (5),02-01-0700,"HIDRALAZINA, 20 MG/ML",ÁMPULA,,"VITALIS-PHARMA DE MEXICO, S.A. DE C.V.",$848.12,18
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2212,SUBROGADA,HGMGG-LPN-01-2212,010.000.0474.00,02-01-0585,"HIDROCORTISONA, 500 MG/5 ML",FRASCO ÁMPULA,,JANSSEN-CILAG DE MEXICO S DE RL CV,$158.03,359
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2213,SUBROGADA,HGMGG-LPN-01-2213,010.000.0474.00 (50),02-01-0146,"HIDROCORTISONA, SUCCINATO SODICO DE, 100 MG/2 ML",FRASCO ÁMPULA,,"LABORATORIOS PISA, S.A. DE C.V.",$23.02,1531
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2214,SUBROGADA,HGMGG-LPN-01-2214,FCB,02-02-0099,"HIDROMORFONA, 16 MG",TABLETA DE LIBERACIÓN PROLONGADA,,JANSSEN-CILAG DE MEXICO S DE RL CV,$312.50,0
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2215,SUBROGADA,HGMGG-LPN-01-2215,040.000.2113.00,SIN CÓDIGO,"HIDROMORFONA, 2 MG",TABLETA,,"LABORATORIOS PISA, S.A. DE C.V.",$17.66,0
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2216,SUBROGADA,HGMGG-LPN-01-2216,FCB,02-02-0090,"HIDROMORFONA, 2 MG/ML",ÁMPULA,,"PSICOFARMA, S.A. DE C.V.",$168.09,0
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2217,SUBROGADA,HGMGG-LPN-01-2217,FCB,02-02-0089,"HIDROMORFONA, 4 MG",TABLETA,,JANSSEN-CILAG DE MEXICO S DE RL CV,$107.14,0
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2218,SUBROGADA,HGMGG-LPN-01-2218,FCB,02-02-0100,"HIDROMORFONA, 8 MG",TABLETA DE LIBERACIÓN PROLONGADA,,JANSSEN-CILAG DE MEXICO S DE RL CV,$103.35,0
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2219,SUBROGADA,HGMGG-LPN-01-2219,FCB,02-01-0781,"HIDROXIPROGESTERONA, CAPROATO DE, 250 MG/ML",ÁMPULA,,"BAYER DE MEXICO, S.A. DE C.V.",$277.99,18
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2220,SUBROGADA,HGMGG-LPN-01-2220,010.000.1222.00,02-01-0148,"HIDROXIDO DE ALUMINIO,  10 G/240 ML",FRASCO,,"NOVAG INFANCIA, S.A. DE C.V.",$148.73,2
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2221,SUBROGADA,HGMGG-LPN-01-2221,FCB,02-01-0185,"HIDROXIPROPILMETILCELULOSA 5%,  10 ML",FRASCO GOTERO,,LABORATORIOS GRIN S A DE C V,$308.94,1
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2222,SUBROGADA,HGMGG-LPN-01-2222,010.000.2814.00,02-01-0821,"HIPROMELOSA, 0.5%",SOLUCIÓN,,EXALUM,$22.29,59
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2223,SUBROGADA,HGMGG-LPN-01-2223,010.000.2893.00,02-01-0822,"HIPROMELOSA, 2%",SOLUCIÓN,,CELULOSE GRIN,$123.64,36
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2224,SUBROGADA,HGMGG-LPN-01-2224,010.000.6076.00,02-01-0846,"IBUPROFENO, 10 MG/2 ML",ÁMPULA,,"PRODUCTOS FARMACEUTICOS, S.A. DE C.V.","$5,310.94",30
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2225,SUBROGADA,HGMGG-LPN-01-2225,010.000.5265.05,02-01-0506,"IMIPENEM Y CILASTATINA, 500 MG",FRASCO ÁMPULA,,"LABORATORIOS PISA, S.A. DE C.V.",$80.84,90
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2226,SUBROGADA,HGMGG-LPN-01-2226,040.000.3302.00 (20),02-02-0057,"IMIPRAMINA, 25 MG",GRAGEAS,,"ULTRA LABORATORIOS, S.A. DE C.V.",$0.65,0
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2227,SUBROGADA,HGMGG-LPN-01-2227,010.000.3412.00/010.000.3412.01 (6 Y 15),02-01-0152,"INDOMETACINA, 100 MG",SUPOSITORIO,,ARTAXOL,$4.32,740
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2228,SUBROGADA,HGMGG-LPN-01-2228,010.000.3413.00 (30),02-01-0151,"INDOMETACINA, 25 MG",CÁPSULA,,"BIORESEARCH DE MEXICO, S.A. DE C.V.",$0.48,6
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2229,SUBROGADA,HGMGG-LPN-01-2229,010.000.1591.00,02-01-0665,"INMUNOGLOBULINA ANTI D, 0.300 MG",FRASCO ÁMPULA,,IGAMAD,"$2,689.57",16
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2230,SUBROGADA,HGMGG-LPN-01-2230,010.000.5240.01,02-01-0709,"INMUNOGLOBULINA HUMANA NORMAL,  6 G",FRASCO,,"CSL BEHRING, S.A. DE C.V.","$16,380.37",128
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2231,SUBROGADA,HGMGG-LPN-01-2231,"010.000.4158.00
010.000.4158.01",02-01-0824,"INSULINA GLARGINA, 100 UI/ ML",FRASCO ÁMPULA,,"LABORATORIOS PISA, S.A. DE C.V.",$582.04,43
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2232,SUBROGADA,HGMGG-LPN-01-2232,010.000.1050.00/010.000.1050.01  (5 ml y 10 ml),02-01-0311,INSULINA HUMANA ACCIÓN INTERMEDIA (N.P.H.) 100 UI/10 ML,FRASCO ÁMPULA,,"LABORATORIOS PISA, S.A. DE C.V.",$56.80,195
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-012NBB001-E8-2233,SUBROGADA,HGMGG-LPN-01-2233,010.000.1051.00/010.000.1051.01  (5 ml y 10 ml),02-01-0156,"INSULINA HUMANA ACCIÓN RAPIDA, 100 UI/10 ML",FRASCO ÁMPULA,,"LABORATORIOS PISA, S.A. DE C.V.",$55.19,361
